ID,parents,has_nurs,form,children,housing,finance,social,health,app_status
2105,pretentious,critical,foster,1,convenient,convenient,slightly_prob,not_recom,0
2106,pretentious,less_proper,completed,1,convenient,convenient,slightly_prob,not_recom,0
2107,usual,less_proper,incomplete,2,less_conv,convenient,nonprob,priority,1
2108,usual,very_crit,completed,more,convenient,inconv,problematic,not_recom,0
2109,usual,less_proper,complete,3,convenient,convenient,slightly_prob,priority,1
2110,pretentious,critical,completed,3,critical,convenient,slightly_prob,recommended,0
2111,great_pret,less_proper,complete,3,convenient,convenient,problematic,recommended,1
2112,pretentious,very_crit,completed,3,critical,convenient,nonprob,not_recom,0
2113,usual,very_crit,foster,2,convenient,inconv,problematic,not_recom,0
2114,usual,proper,complete,1,critical,convenient,nonprob,priority,1
2115,pretentious,very_crit,incomplete,more,critical,convenient,slightly_prob,not_recom,0
2116,pretentious,very_crit,complete,3,less_conv,inconv,nonprob,recommended,0
2117,pretentious,less_proper,incomplete,1,convenient,convenient,slightly_prob,priority,1
2118,pretentious,critical,completed,1,less_conv,convenient,problematic,priority,0
2119,pretentious,improper,completed,1,less_conv,inconv,problematic,recommended,1
2120,great_pret,less_proper,completed,1,critical,convenient,nonprob,not_recom,0
2121,pretentious,improper,completed,more,convenient,inconv,problematic,not_recom,0
2122,usual,critical,completed,3,convenient,convenient,slightly_prob,priority,1
2123,pretentious,proper,complete,3,convenient,convenient,slightly_prob,priority,1
2124,great_pret,less_proper,foster,1,convenient,convenient,problematic,priority,1
2125,usual,proper,complete,more,convenient,convenient,problematic,priority,1
2126,pretentious,critical,complete,more,critical,convenient,slightly_prob,not_recom,0
2127,pretentious,improper,complete,1,convenient,convenient,slightly_prob,recommended,1
2128,great_pret,improper,complete,3,less_conv,convenient,nonprob,not_recom,0
2129,great_pret,very_crit,completed,more,less_conv,convenient,slightly_prob,recommended,0
2130,usual,proper,completed,3,convenient,inconv,nonprob,recommended,1
2131,great_pret,proper,incomplete,3,critical,inconv,nonprob,recommended,1
2132,usual,less_proper,foster,3,less_conv,inconv,problematic,not_recom,0
2133,usual,less_proper,incomplete,3,less_conv,convenient,nonprob,priority,1
2134,pretentious,less_proper,incomplete,1,convenient,convenient,nonprob,recommended,1
2135,pretentious,improper,completed,3,less_conv,convenient,slightly_prob,recommended,1
2136,great_pret,improper,foster,more,less_conv,convenient,problematic,not_recom,0
2137,pretentious,very_crit,complete,2,critical,inconv,slightly_prob,priority,0
2138,usual,critical,incomplete,1,convenient,convenient,problematic,recommended,1
2139,usual,improper,incomplete,2,critical,inconv,nonprob,priority,1
2140,pretentious,improper,incomplete,more,critical,convenient,slightly_prob,not_recom,0
2141,great_pret,critical,incomplete,3,less_conv,convenient,problematic,recommended,0
2142,great_pret,proper,incomplete,more,critical,inconv,problematic,priority,0
2143,great_pret,proper,incomplete,1,convenient,inconv,nonprob,priority,1
2144,usual,critical,incomplete,1,less_conv,inconv,nonprob,recommended,1
2145,usual,improper,foster,1,critical,inconv,problematic,priority,1
2146,usual,very_crit,complete,1,less_conv,inconv,slightly_prob,not_recom,0
2147,great_pret,less_proper,completed,3,critical,convenient,problematic,not_recom,0
2148,great_pret,improper,foster,3,critical,inconv,slightly_prob,priority,0
2149,great_pret,less_proper,complete,1,convenient,convenient,nonprob,not_recom,0
2150,usual,improper,completed,2,less_conv,convenient,problematic,not_recom,0
2151,great_pret,proper,completed,1,critical,inconv,slightly_prob,recommended,1
2152,great_pret,very_crit,incomplete,more,less_conv,convenient,nonprob,priority,0
2153,pretentious,critical,incomplete,3,convenient,inconv,nonprob,recommended,0
2154,great_pret,very_crit,foster,3,critical,inconv,problematic,not_recom,0
2155,usual,less_proper,foster,more,convenient,convenient,nonprob,not_recom,0
2156,pretentious,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,0
2157,usual,critical,foster,1,critical,inconv,slightly_prob,priority,0
2158,pretentious,less_proper,completed,3,critical,inconv,problematic,recommended,1
2159,usual,improper,completed,2,convenient,inconv,nonprob,recommended,1
2160,great_pret,very_crit,complete,3,less_conv,convenient,slightly_prob,not_recom,0
2161,great_pret,improper,incomplete,2,critical,inconv,slightly_prob,recommended,0
2162,great_pret,critical,completed,more,critical,inconv,nonprob,recommended,0
2163,great_pret,proper,completed,more,less_conv,convenient,problematic,recommended,0
2164,great_pret,critical,incomplete,2,convenient,inconv,slightly_prob,not_recom,0
2165,usual,improper,complete,2,critical,inconv,slightly_prob,recommended,1
2166,great_pret,critical,foster,more,less_conv,inconv,problematic,not_recom,0
2167,pretentious,improper,incomplete,more,convenient,convenient,problematic,recommended,1
2168,usual,less_proper,foster,2,convenient,convenient,nonprob,priority,1
2169,pretentious,critical,completed,3,convenient,convenient,problematic,not_recom,0
2170,usual,improper,completed,more,critical,convenient,slightly_prob,not_recom,0
2171,great_pret,improper,incomplete,more,critical,inconv,slightly_prob,not_recom,0
2172,usual,less_proper,foster,more,less_conv,convenient,slightly_prob,priority,1
2173,usual,very_crit,foster,1,less_conv,convenient,nonprob,not_recom,0
2174,great_pret,improper,foster,2,critical,convenient,slightly_prob,recommended,0
2175,usual,improper,completed,3,convenient,convenient,nonprob,recommended,1
2176,usual,improper,incomplete,2,less_conv,convenient,slightly_prob,not_recom,0
2177,usual,critical,foster,more,critical,convenient,problematic,priority,0
2178,pretentious,improper,foster,more,less_conv,inconv,slightly_prob,recommended,1
2179,great_pret,improper,complete,3,convenient,inconv,slightly_prob,not_recom,0
2180,great_pret,critical,completed,1,critical,convenient,slightly_prob,recommended,0
2181,pretentious,improper,complete,2,convenient,inconv,nonprob,recommended,1
2182,great_pret,critical,incomplete,2,critical,convenient,nonprob,not_recom,0
2183,pretentious,improper,incomplete,1,convenient,convenient,problematic,recommended,1
2184,great_pret,improper,incomplete,more,critical,convenient,slightly_prob,priority,0
2185,pretentious,critical,incomplete,2,less_conv,convenient,problematic,not_recom,0
2186,great_pret,improper,foster,3,less_conv,convenient,slightly_prob,recommended,0
2187,great_pret,improper,complete,3,convenient,convenient,problematic,recommended,0
2188,usual,proper,foster,2,critical,convenient,nonprob,not_recom,0
2189,usual,critical,completed,more,convenient,inconv,slightly_prob,not_recom,0
2190,pretentious,improper,completed,3,convenient,inconv,slightly_prob,priority,0
2191,pretentious,proper,complete,3,critical,convenient,problematic,recommended,1
2192,usual,proper,foster,2,critical,convenient,problematic,priority,1
2193,pretentious,critical,complete,2,less_conv,inconv,problematic,recommended,0
2194,great_pret,very_crit,complete,1,less_conv,inconv,slightly_prob,priority,0
2195,usual,improper,completed,3,convenient,convenient,slightly_prob,not_recom,0
2196,usual,critical,foster,more,less_conv,inconv,nonprob,priority,0
2197,great_pret,less_proper,complete,3,less_conv,inconv,slightly_prob,recommended,1
2198,great_pret,critical,foster,3,critical,convenient,slightly_prob,not_recom,0
2199,pretentious,improper,foster,more,less_conv,convenient,nonprob,priority,0
2200,great_pret,proper,completed,1,critical,inconv,problematic,recommended,0
2201,usual,very_crit,foster,2,less_conv,convenient,nonprob,priority,0
2202,usual,very_crit,completed,1,critical,inconv,problematic,not_recom,0
2203,great_pret,less_proper,foster,more,critical,inconv,nonprob,not_recom,0
2204,pretentious,less_proper,complete,more,convenient,convenient,slightly_prob,recommended,1
2205,great_pret,improper,foster,more,convenient,convenient,nonprob,priority,0
2206,pretentious,critical,complete,2,critical,inconv,slightly_prob,recommended,0
2207,great_pret,less_proper,complete,2,less_conv,inconv,problematic,not_recom,0
2208,great_pret,less_proper,incomplete,1,critical,convenient,problematic,not_recom,0
2209,pretentious,critical,incomplete,2,convenient,inconv,slightly_prob,not_recom,0
2210,usual,improper,incomplete,more,critical,inconv,nonprob,not_recom,0
2211,pretentious,less_proper,complete,3,convenient,inconv,problematic,not_recom,0
2212,great_pret,proper,incomplete,more,critical,inconv,nonprob,not_recom,0
2213,great_pret,critical,incomplete,2,critical,convenient,nonprob,recommended,0
2214,great_pret,less_proper,foster,3,less_conv,inconv,slightly_prob,recommended,1
2215,great_pret,improper,foster,3,convenient,inconv,slightly_prob,priority,0
2216,pretentious,less_proper,complete,1,convenient,inconv,nonprob,not_recom,0
2217,pretentious,critical,completed,1,less_conv,convenient,slightly_prob,recommended,1
2218,usual,proper,incomplete,1,critical,convenient,problematic,priority,1
2219,great_pret,critical,completed,1,convenient,inconv,problematic,not_recom,0
2220,usual,improper,complete,3,less_conv,inconv,nonprob,priority,1
2221,pretentious,critical,complete,2,convenient,inconv,problematic,priority,0
2222,great_pret,proper,incomplete,3,convenient,inconv,problematic,recommended,0
2223,usual,improper,foster,1,less_conv,convenient,problematic,recommended,1
2224,great_pret,very_crit,incomplete,more,convenient,convenient,slightly_prob,priority,0
2225,pretentious,very_crit,incomplete,more,less_conv,convenient,nonprob,not_recom,0
2226,usual,less_proper,complete,1,less_conv,convenient,problematic,recommended,1
2227,pretentious,improper,complete,more,critical,inconv,nonprob,priority,0
2228,great_pret,less_proper,foster,1,less_conv,inconv,problematic,recommended,0
2229,great_pret,critical,foster,more,convenient,inconv,nonprob,recommended,0
2230,usual,less_proper,foster,more,less_conv,convenient,nonprob,recommended,1
2231,great_pret,less_proper,foster,1,critical,inconv,slightly_prob,not_recom,0
2232,pretentious,proper,completed,more,less_conv,convenient,problematic,recommended,1
2233,usual,proper,completed,1,convenient,inconv,nonprob,recommended,1
2234,great_pret,improper,incomplete,more,critical,inconv,slightly_prob,recommended,0
2235,usual,critical,incomplete,3,critical,inconv,problematic,recommended,0
2236,pretentious,very_crit,completed,1,less_conv,convenient,slightly_prob,priority,0
2237,great_pret,very_crit,complete,1,critical,convenient,slightly_prob,priority,0
2238,great_pret,improper,completed,more,critical,inconv,nonprob,recommended,0
2239,usual,proper,complete,2,critical,convenient,problematic,recommended,1
2240,pretentious,proper,incomplete,2,critical,inconv,nonprob,recommended,1
2241,pretentious,very_crit,complete,3,convenient,inconv,nonprob,recommended,0
2242,usual,proper,incomplete,1,convenient,inconv,problematic,recommended,1
2243,great_pret,less_proper,foster,1,less_conv,convenient,slightly_prob,recommended,1
2244,usual,very_crit,foster,3,less_conv,inconv,nonprob,recommended,0
2245,usual,proper,foster,more,less_conv,inconv,slightly_prob,priority,1
2246,great_pret,improper,complete,more,less_conv,convenient,problematic,recommended,0
2247,usual,less_proper,foster,2,convenient,inconv,slightly_prob,recommended,1
2248,usual,less_proper,complete,more,critical,inconv,problematic,recommended,1
2249,great_pret,critical,incomplete,3,less_conv,inconv,nonprob,recommended,0
2250,pretentious,proper,complete,3,critical,inconv,problematic,not_recom,0
2251,pretentious,less_proper,incomplete,1,convenient,inconv,problematic,recommended,1
2252,great_pret,proper,complete,more,critical,inconv,problematic,priority,0
2253,pretentious,proper,foster,3,less_conv,convenient,slightly_prob,not_recom,0
2254,great_pret,critical,incomplete,1,critical,convenient,slightly_prob,priority,0
2255,usual,less_proper,complete,more,critical,convenient,nonprob,not_recom,0
2256,pretentious,critical,incomplete,1,critical,convenient,slightly_prob,not_recom,0
2257,pretentious,critical,complete,2,convenient,convenient,nonprob,not_recom,0
2258,great_pret,less_proper,complete,3,critical,convenient,nonprob,not_recom,0
2259,great_pret,improper,foster,1,critical,convenient,slightly_prob,not_recom,0
2260,usual,critical,complete,more,less_conv,inconv,nonprob,not_recom,0
2261,great_pret,less_proper,foster,2,less_conv,inconv,nonprob,recommended,1
2262,pretentious,very_crit,foster,3,critical,convenient,nonprob,not_recom,0
2263,pretentious,critical,foster,2,less_conv,inconv,slightly_prob,not_recom,0
2264,usual,improper,incomplete,1,convenient,convenient,slightly_prob,recommended,1
2265,usual,less_proper,incomplete,1,convenient,convenient,nonprob,recommended,1
2266,pretentious,critical,incomplete,1,critical,convenient,problematic,recommended,0
2267,great_pret,less_proper,incomplete,1,critical,inconv,slightly_prob,not_recom,0
2268,pretentious,very_crit,completed,2,critical,inconv,nonprob,priority,0
2269,pretentious,critical,incomplete,2,convenient,inconv,problematic,priority,0
2270,usual,improper,foster,3,critical,inconv,nonprob,recommended,1
2271,great_pret,critical,completed,more,convenient,inconv,problematic,priority,0
2272,usual,critical,complete,2,less_conv,inconv,nonprob,recommended,1
2273,usual,very_crit,incomplete,1,less_conv,inconv,problematic,recommended,0
2274,great_pret,improper,complete,more,less_conv,inconv,nonprob,not_recom,0
2275,usual,proper,incomplete,2,critical,convenient,nonprob,priority,1
2276,pretentious,proper,incomplete,1,convenient,convenient,slightly_prob,not_recom,0
2277,pretentious,critical,foster,more,critical,convenient,slightly_prob,priority,0
2278,pretentious,improper,complete,2,critical,inconv,problematic,not_recom,0
2279,usual,critical,incomplete,3,less_conv,convenient,slightly_prob,recommended,1
2280,great_pret,proper,foster,3,less_conv,inconv,nonprob,priority,0
2281,usual,very_crit,incomplete,3,critical,convenient,slightly_prob,priority,0
2282,pretentious,critical,completed,1,critical,inconv,nonprob,not_recom,0
2283,pretentious,proper,foster,2,convenient,convenient,problematic,priority,1
2284,usual,improper,complete,2,less_conv,convenient,nonprob,recommended,1
2285,usual,very_crit,foster,2,convenient,convenient,problematic,priority,0
2286,usual,critical,incomplete,2,critical,inconv,slightly_prob,recommended,1
2287,great_pret,critical,complete,3,convenient,inconv,nonprob,recommended,0
2288,great_pret,very_crit,incomplete,1,critical,inconv,slightly_prob,priority,0
2289,pretentious,very_crit,incomplete,3,critical,convenient,nonprob,not_recom,0
2290,pretentious,critical,foster,3,critical,convenient,slightly_prob,not_recom,0
2291,usual,improper,foster,2,convenient,inconv,slightly_prob,not_recom,0
2292,pretentious,proper,foster,3,convenient,convenient,slightly_prob,not_recom,0
2293,usual,less_proper,complete,3,critical,inconv,problematic,not_recom,0
2294,great_pret,improper,complete,more,critical,convenient,nonprob,not_recom,0
2295,great_pret,proper,incomplete,2,critical,convenient,nonprob,priority,0
2296,usual,very_crit,complete,2,less_conv,inconv,slightly_prob,not_recom,0
2297,usual,critical,incomplete,3,less_conv,inconv,slightly_prob,not_recom,0
2298,great_pret,improper,complete,3,critical,convenient,slightly_prob,recommended,0
2299,usual,less_proper,foster,2,convenient,inconv,nonprob,priority,1
2300,pretentious,very_crit,foster,2,less_conv,inconv,nonprob,recommended,0
2301,great_pret,less_proper,completed,3,convenient,convenient,problematic,not_recom,0
2302,usual,very_crit,complete,3,convenient,inconv,nonprob,priority,0
2303,great_pret,proper,foster,3,critical,convenient,slightly_prob,recommended,1
2304,great_pret,critical,incomplete,more,convenient,inconv,problematic,priority,0
2305,pretentious,very_crit,foster,3,critical,convenient,nonprob,recommended,0
2306,pretentious,very_crit,foster,2,convenient,convenient,nonprob,priority,0
2307,great_pret,less_proper,incomplete,1,less_conv,inconv,nonprob,priority,1
2308,usual,improper,complete,3,convenient,convenient,problematic,not_recom,0
2309,pretentious,very_crit,foster,more,convenient,convenient,slightly_prob,recommended,1
2310,great_pret,very_crit,complete,more,convenient,convenient,problematic,recommended,0
2311,usual,proper,complete,1,critical,inconv,nonprob,recommended,1
2312,pretentious,less_proper,foster,2,less_conv,inconv,slightly_prob,recommended,1
2313,pretentious,very_crit,incomplete,1,convenient,inconv,nonprob,priority,0
2314,usual,proper,foster,2,less_conv,convenient,slightly_prob,not_recom,0
2315,usual,critical,complete,3,less_conv,convenient,problematic,recommended,0
2316,usual,critical,completed,2,less_conv,inconv,nonprob,not_recom,0
2317,great_pret,proper,complete,3,convenient,inconv,slightly_prob,priority,0
2318,great_pret,critical,completed,1,critical,convenient,problematic,not_recom,0
2319,usual,less_proper,complete,3,critical,inconv,slightly_prob,not_recom,0
2320,great_pret,critical,complete,1,critical,convenient,problematic,recommended,0
2321,pretentious,very_crit,incomplete,3,less_conv,inconv,problematic,not_recom,0
2322,usual,very_crit,incomplete,2,convenient,inconv,nonprob,not_recom,0
2323,great_pret,proper,completed,2,convenient,inconv,slightly_prob,priority,1
2324,pretentious,less_proper,incomplete,more,critical,convenient,slightly_prob,priority,1
2325,pretentious,proper,complete,3,critical,inconv,slightly_prob,recommended,1
2326,pretentious,very_crit,foster,3,less_conv,convenient,slightly_prob,not_recom,0
2327,great_pret,improper,incomplete,1,critical,inconv,slightly_prob,priority,0
2328,pretentious,critical,completed,2,critical,inconv,nonprob,not_recom,0
2329,great_pret,less_proper,complete,2,critical,convenient,slightly_prob,recommended,1
2330,pretentious,critical,incomplete,2,critical,inconv,slightly_prob,not_recom,0
2331,usual,critical,completed,1,less_conv,inconv,problematic,not_recom,0
2332,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended,1
2333,usual,proper,incomplete,1,less_conv,convenient,problematic,recommended,1
2334,usual,less_proper,completed,more,less_conv,inconv,slightly_prob,not_recom,0
2335,great_pret,critical,foster,more,less_conv,convenient,problematic,recommended,0
2336,usual,proper,completed,3,convenient,convenient,problematic,not_recom,0
2337,great_pret,proper,complete,3,critical,convenient,problematic,recommended,0
2338,pretentious,proper,completed,3,critical,inconv,nonprob,not_recom,0
2339,pretentious,critical,complete,more,critical,inconv,slightly_prob,priority,0
2340,pretentious,critical,foster,more,less_conv,inconv,nonprob,not_recom,0
2341,pretentious,improper,completed,2,critical,convenient,problematic,priority,0
2342,usual,proper,completed,more,convenient,inconv,slightly_prob,priority,1
2343,usual,very_crit,foster,more,less_conv,convenient,slightly_prob,recommended,0
2344,pretentious,very_crit,incomplete,3,critical,inconv,nonprob,recommended,0
2345,great_pret,very_crit,complete,3,less_conv,inconv,problematic,priority,0
2346,great_pret,improper,complete,1,convenient,inconv,nonprob,not_recom,0
2347,usual,less_proper,foster,more,critical,inconv,problematic,recommended,1
2348,usual,less_proper,completed,2,less_conv,convenient,slightly_prob,not_recom,0
2349,usual,proper,foster,2,less_conv,convenient,problematic,priority,1
2350,great_pret,less_proper,incomplete,3,critical,inconv,nonprob,recommended,1
2351,pretentious,less_proper,incomplete,more,critical,inconv,problematic,recommended,1
2352,great_pret,proper,foster,1,convenient,convenient,nonprob,not_recom,0
2353,great_pret,less_proper,foster,1,critical,inconv,problematic,priority,0
2354,usual,improper,complete,3,convenient,inconv,problematic,priority,1
2355,pretentious,proper,foster,2,less_conv,convenient,slightly_prob,priority,1
2356,pretentious,critical,foster,2,convenient,inconv,nonprob,not_recom,0
2357,usual,improper,completed,3,critical,inconv,slightly_prob,priority,1
2358,usual,improper,foster,1,convenient,convenient,nonprob,recommended,1
2359,usual,critical,complete,1,critical,inconv,nonprob,recommended,1
2360,great_pret,proper,incomplete,1,less_conv,convenient,problematic,priority,1
2361,usual,very_crit,completed,more,critical,convenient,slightly_prob,not_recom,0
2362,usual,very_crit,incomplete,3,convenient,inconv,nonprob,priority,0
2363,great_pret,very_crit,completed,3,critical,convenient,problematic,not_recom,0
2364,usual,critical,incomplete,more,convenient,inconv,problematic,priority,0
2365,usual,improper,incomplete,1,critical,inconv,problematic,priority,1
2366,usual,critical,complete,more,critical,convenient,problematic,recommended,0
2367,usual,very_crit,complete,more,critical,inconv,slightly_prob,not_recom,0
2368,pretentious,critical,incomplete,more,less_conv,inconv,slightly_prob,not_recom,0
2369,great_pret,proper,incomplete,more,less_conv,inconv,problematic,recommended,0
2370,usual,less_proper,completed,more,less_conv,convenient,nonprob,recommended,1
2371,pretentious,critical,foster,more,critical,inconv,problematic,not_recom,0
2372,usual,less_proper,incomplete,more,less_conv,inconv,nonprob,not_recom,0
2373,pretentious,less_proper,foster,2,critical,convenient,problematic,not_recom,0
2374,pretentious,improper,foster,1,critical,inconv,slightly_prob,recommended,1
2375,great_pret,less_proper,incomplete,more,critical,inconv,nonprob,priority,0
2376,usual,critical,foster,more,critical,convenient,nonprob,recommended,1
2377,usual,improper,foster,1,less_conv,convenient,nonprob,not_recom,0
2378,usual,critical,incomplete,1,convenient,inconv,nonprob,recommended,1
2379,great_pret,proper,complete,1,convenient,convenient,problematic,priority,1
2380,pretentious,less_proper,incomplete,3,critical,convenient,slightly_prob,recommended,1
2381,usual,proper,completed,1,less_conv,inconv,problematic,priority,1
2382,pretentious,improper,incomplete,1,less_conv,convenient,problematic,recommended,1
2383,usual,less_proper,complete,3,critical,inconv,slightly_prob,priority,1
2384,pretentious,critical,completed,2,convenient,convenient,nonprob,priority,0
2385,pretentious,less_proper,foster,2,convenient,convenient,problematic,recommended,1
2386,great_pret,critical,foster,1,convenient,convenient,problematic,not_recom,0
2387,great_pret,proper,completed,1,convenient,convenient,slightly_prob,recommended,1
2388,great_pret,improper,complete,more,less_conv,inconv,nonprob,priority,0
2389,pretentious,less_proper,complete,2,less_conv,convenient,slightly_prob,not_recom,0
2390,great_pret,proper,completed,3,less_conv,convenient,slightly_prob,not_recom,0
2391,pretentious,very_crit,completed,2,convenient,convenient,nonprob,priority,0
2392,pretentious,improper,foster,more,critical,convenient,slightly_prob,not_recom,0
2393,usual,critical,complete,1,critical,convenient,problematic,not_recom,0
2394,pretentious,less_proper,completed,3,less_conv,convenient,slightly_prob,recommended,1
2395,usual,less_proper,incomplete,more,critical,convenient,nonprob,recommended,1
2396,pretentious,less_proper,foster,3,less_conv,inconv,nonprob,not_recom,0
2397,great_pret,improper,incomplete,2,critical,convenient,slightly_prob,not_recom,0
2398,great_pret,improper,incomplete,1,convenient,convenient,slightly_prob,recommended,1
2399,usual,less_proper,completed,1,critical,inconv,slightly_prob,priority,1
2400,pretentious,critical,complete,more,convenient,inconv,nonprob,priority,0
2401,usual,very_crit,incomplete,3,critical,inconv,slightly_prob,recommended,0
2402,usual,very_crit,incomplete,more,convenient,convenient,problematic,priority,0
2403,usual,less_proper,incomplete,1,critical,inconv,problematic,priority,1
2404,great_pret,improper,foster,2,critical,convenient,slightly_prob,priority,0
2405,great_pret,very_crit,completed,more,critical,convenient,problematic,recommended,0
2406,great_pret,improper,complete,3,critical,inconv,slightly_prob,not_recom,0
2407,usual,very_crit,complete,2,less_conv,convenient,nonprob,priority,0
2408,pretentious,very_crit,foster,1,convenient,convenient,problematic,not_recom,0
2409,pretentious,improper,incomplete,2,critical,inconv,problematic,priority,0
2410,usual,critical,foster,3,less_conv,inconv,problematic,not_recom,0
2411,usual,less_proper,complete,1,convenient,convenient,problematic,recommended,1
2412,usual,less_proper,completed,2,less_conv,inconv,nonprob,not_recom,0
2413,pretentious,very_crit,foster,3,less_conv,inconv,problematic,not_recom,0
2414,pretentious,proper,complete,1,critical,convenient,slightly_prob,recommended,1
2415,usual,critical,complete,2,less_conv,convenient,problematic,not_recom,0
2416,pretentious,critical,incomplete,3,less_conv,convenient,nonprob,not_recom,0
2417,pretentious,improper,incomplete,more,critical,convenient,nonprob,not_recom,0
2418,usual,less_proper,foster,3,critical,convenient,problematic,recommended,1
2419,pretentious,less_proper,completed,3,less_conv,inconv,slightly_prob,priority,1
2420,great_pret,very_crit,completed,2,less_conv,inconv,nonprob,recommended,1
2421,pretentious,proper,completed,2,less_conv,convenient,problematic,recommended,1
2422,pretentious,proper,incomplete,3,convenient,convenient,nonprob,not_recom,0
2423,pretentious,proper,incomplete,more,convenient,convenient,nonprob,not_recom,0
2424,pretentious,critical,completed,1,convenient,inconv,nonprob,not_recom,0
2425,great_pret,proper,completed,more,critical,inconv,nonprob,not_recom,0
2426,usual,improper,incomplete,more,convenient,convenient,nonprob,recommended,1
2427,pretentious,improper,foster,3,less_conv,inconv,problematic,priority,0
2428,usual,proper,foster,more,convenient,inconv,problematic,recommended,1
2429,usual,improper,incomplete,more,critical,convenient,nonprob,recommended,1
2430,pretentious,proper,complete,2,critical,inconv,problematic,not_recom,0
2431,pretentious,very_crit,incomplete,1,critical,inconv,nonprob,priority,0
2432,great_pret,proper,foster,3,critical,convenient,slightly_prob,priority,0
2433,usual,very_crit,incomplete,3,convenient,convenient,problematic,recommended,0
2434,usual,improper,foster,3,less_conv,convenient,nonprob,priority,1
2435,usual,very_crit,foster,1,critical,convenient,slightly_prob,not_recom,0
2436,pretentious,proper,complete,more,convenient,convenient,slightly_prob,priority,1
2437,usual,critical,complete,1,less_conv,convenient,problematic,not_recom,0
2438,usual,improper,completed,1,less_conv,inconv,nonprob,not_recom,0
2439,great_pret,improper,complete,more,critical,inconv,problematic,recommended,0
2440,pretentious,improper,completed,1,critical,convenient,problematic,recommended,0
2441,great_pret,proper,completed,2,less_conv,convenient,slightly_prob,recommended,1
2442,pretentious,very_crit,foster,2,critical,convenient,slightly_prob,recommended,0
2443,pretentious,less_proper,incomplete,1,convenient,inconv,nonprob,not_recom,0
2444,usual,very_crit,completed,2,less_conv,convenient,problematic,priority,0
2445,usual,less_proper,complete,2,convenient,convenient,problematic,recommended,1
2446,pretentious,very_crit,incomplete,2,convenient,inconv,nonprob,recommended,0
2447,great_pret,proper,completed,3,convenient,convenient,slightly_prob,not_recom,0
2448,pretentious,less_proper,complete,3,less_conv,inconv,nonprob,priority,1
2449,pretentious,critical,incomplete,more,critical,convenient,nonprob,priority,0
2450,pretentious,proper,completed,2,less_conv,inconv,problematic,priority,1
2451,pretentious,very_crit,foster,2,critical,inconv,problematic,recommended,0
2452,pretentious,critical,incomplete,more,less_conv,inconv,nonprob,recommended,0
2453,usual,improper,foster,1,critical,convenient,nonprob,recommended,1
2454,usual,less_proper,completed,1,critical,inconv,problematic,priority,1
2455,pretentious,proper,complete,3,less_conv,inconv,nonprob,not_recom,0
2456,usual,critical,completed,3,critical,inconv,slightly_prob,not_recom,0
2457,pretentious,very_crit,incomplete,2,critical,convenient,slightly_prob,not_recom,0
2458,pretentious,improper,complete,3,critical,inconv,problematic,recommended,0
2459,pretentious,less_proper,completed,1,less_conv,inconv,slightly_prob,not_recom,0
2460,usual,critical,complete,1,critical,inconv,problematic,recommended,1
2461,usual,very_crit,foster,3,convenient,inconv,nonprob,recommended,0
2462,pretentious,critical,completed,more,convenient,inconv,problematic,recommended,0
2463,usual,proper,complete,more,critical,inconv,problematic,recommended,1
2464,pretentious,less_proper,complete,2,less_conv,inconv,problematic,recommended,1
2465,usual,improper,foster,more,less_conv,inconv,nonprob,not_recom,0
2466,great_pret,critical,incomplete,1,less_conv,convenient,slightly_prob,not_recom,0
2467,usual,critical,incomplete,more,convenient,convenient,problematic,recommended,1
2468,great_pret,improper,foster,2,critical,inconv,problematic,not_recom,0
2469,usual,critical,completed,1,less_conv,inconv,problematic,recommended,1
2470,usual,less_proper,completed,3,convenient,convenient,slightly_prob,priority,1
2471,great_pret,critical,incomplete,3,critical,inconv,problematic,recommended,0
2472,usual,improper,complete,3,critical,convenient,nonprob,priority,1
2473,pretentious,proper,complete,more,convenient,convenient,nonprob,not_recom,0
2474,great_pret,proper,incomplete,1,critical,inconv,slightly_prob,not_recom,0
2475,usual,very_crit,complete,3,less_conv,inconv,slightly_prob,priority,0
2476,usual,critical,complete,more,less_conv,convenient,problematic,not_recom,0
2477,pretentious,proper,completed,3,less_conv,convenient,problematic,recommended,1
2478,great_pret,improper,incomplete,3,convenient,convenient,problematic,not_recom,0
2479,great_pret,critical,foster,3,convenient,convenient,slightly_prob,recommended,1
2480,usual,less_proper,foster,2,convenient,convenient,nonprob,recommended,1
2481,great_pret,proper,incomplete,2,convenient,inconv,problematic,not_recom,0
2482,usual,very_crit,completed,1,convenient,inconv,problematic,not_recom,0
2483,pretentious,proper,completed,1,convenient,inconv,slightly_prob,priority,1
2484,great_pret,improper,completed,3,less_conv,convenient,slightly_prob,priority,0
2485,great_pret,improper,complete,more,less_conv,convenient,slightly_prob,priority,0
2486,great_pret,critical,incomplete,more,less_conv,inconv,problematic,not_recom,0
2487,usual,very_crit,foster,more,less_conv,convenient,slightly_prob,not_recom,0
2488,great_pret,less_proper,foster,3,less_conv,convenient,problematic,priority,0
2489,usual,critical,incomplete,1,convenient,convenient,nonprob,recommended,1
2490,great_pret,critical,foster,1,convenient,inconv,slightly_prob,recommended,0
2491,pretentious,very_crit,incomplete,3,less_conv,convenient,nonprob,priority,0
2492,usual,less_proper,foster,more,convenient,convenient,slightly_prob,recommended,1
